id;name;lang;uid;value;description
1;program Frozen;Electronics hacking Savings Account;Savings Account bandwidth;Berkshire Garden;Avon Swiss Franc
2;Movies Ergonomic bus;Buckinghamshire Personal Loan Account;Cook Islands;Bedfordshire open system;solutions GB
3;French Polynesia Direct;Car Program;methodology;Savings Account;neural Shoes
4;Business-focused Agent;Cotton;Soft Borders;Tuna Music SAS;deposit
5;cross-media;client-driven National;TCP well-modulated;Communications;Rubber North Dakota
6;Brook;Personal Loan Account blue 4th generation;orchestrate;Georgia Incredible Granite Salad Germany;HTTP executive
7;Re-contextualized Rubber;Designer reintermediate online;Computers Avon Product;Industrial;firewall system e-enable
8;optical;Manat Product;SMS;context-sensitive wireless deliverables;compress Assistant Marketing
9;system override Division;backing up Rustic Fresh Shoes Principal;French Guiana Rustic;Enterprise-wide;fresh-thinking
10;invoice;Customer;orchid;Plastic;payment Investment Account mobile
